Année;taille du marche;Croissance Economique;Ouverture Commerciale;Inflation;Taux de change;TSalaire Moyen;IDE
1960;61959085885;2,675655975;21,2204551;4,139935755;118,889673;22633,65079;621212781,7
1961;67158050215;4,94642546;20,70786742;2,400461045;118,889673;22633,65079;621212781,7
1962;75196980365;6,856264645;19,66701313;5,331280071;118,889673;1530;621212781,7
1963;84227606650;6,103338858;20,12166874;4,999152898;118,889673;1680;621212781,7
1964;93424179943;6,582806854;20,55891741;3,211191703;118,889673;1850;621212781,7
1965;1,00928E+11;4,838750112;20,37102441;2,703104559;118,889673;2020;621212781,7
1966;1,09307E+11;5,163542742;20,89624302;2,602000766;118,889673;2190;621212781,7
1967;1,18089E+11;4,801770809;20,31524873;2,791777094;118,889673;2350;621212781,7
1968;1,28711E+11;4,544018212;20,91669663;4,543204864;118,889673;2540;621212781,7
1969;1,40661E+11;7,09364698;23,15142059;6,045962842;118,889673;2800;621212781,7
1970;1,47313E+11;6,200174386;25,27274236;5,299641246;118,889673;3000;621212781,7
1971;1,64694E+11;5,293446228;25,59106343;5,397518656;118,889673;3220;525655900
1972;2,01739E+11;4,5141076;26,49365336;6,063003097;118,889673;3630;656666980,5
1973;2,61971E+11;6,194584066;28,40281242;7,380601064;118,889673;4630;1125479247
1974;2,82739E+11;4,414713764;35,07719875;13,64931747;118,889673;5730;1846644388
1975;3,57324E+11;-0,945609617;29,95793952;11,68592725;118,889673;6650;1563849883
1976;3,68363E+11;4,337556475;32,83607475;9,625495782;118,889673;7070;977422843,6
1977;4,06402E+11;3,55415569;33,40709355;9,494554672;118,889673;7730;1896159372
1978;5,01724E+11;3,949362163;32,12101983;9,250558467;118,889673;8740;2471468400
1979;6,08219E+11;3,695310787;34,14906936;10,64673417;118,889673;10720;2588309413
1980;6,94529E+11;1,676413372;36,12461592;13,56257885;118,889673;12950;3282773278
1981;6,09185E+11;1,188314743;37,32479915;13,31440557;113,5997414;13040;2469631625
1982;5,78152E+11;2,442512687;36,73910769;11,97847195;108,4566511;11900;1585298782
1983;5,53356E+11;1,262057618;36,29668539;9,459548472;104,4395344;10320;1725670869
1984;5,25033E+11;1,609471466;38,46003483;7,673802622;102,7230108;9710;2397989219
